"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.328146974E2,4.770725699E1,1.771683047E1,1.176161474E2,1.938759804E1,3.508104553E2,1.200181241E1,1.200181241E1
1.338146919E2,4.770745169E1,1.771680501E1,1.176010537E2,2.006779671E1,3.488091125E2,1.200181241E1,1.200181241E1
1.348146855E2,4.770765161E1,1.771675044E1,1.175608588E2,2.107860184E1,3.470612183E2,1.200181241E1,1.200181241E1
1.358146803E2,4.770785912E1,1.771667022E1,1.181534518E2,2.327819061E1,3.430879822E2,1.200181241E1,1.200181241E1
1.368146740E2,4.770806957E1,1.771657542E1,1.185458578E2,2.436662102E1,3.430879822E2,1.200181241E1,1.200181241E1
1.378146678E2,4.770827464E1,1.771648179E1,1.193162660E2,2.413346481E1,3.428345337E2,1.200181241E1,1.200181241E1
1.388146622E2,4.770846640E1,1.771639403E1,1.200953744E2,2.413346481E1,3.428345337E2,1.200181241E1,1.200181241E1
1.398146560E2,4.770868335E1,1.771633188E1,1.208599582E2,2.413346481E1,3.428345337E2,8.001208274E0,8.001208274E0
1.408146507E2,4.770891349E1,1.771624061E1,1.215459930E2,2.597346878E1,3.428345337E2,8.001208274E0,8.001208274E0
1.418146446E2,4.770912917E1,1.771615359E1,1.216107238E2,2.597346878E1,3.428345337E2,8.001208274E0,8.001208274E0
1.428146390E2,4.770934949E1,1.771605444E1,1.216858614E2,2.551464653E1,3.428345337E2,8.001208274E0,8.001208274E0
1.438146324E2,4.770957326E1,1.771595014E1,1.220595083E2,2.551464653E1,3.443756714E2,8.001208274E0,8.001208274E0
1.448146271E2,4.770980212E1,1.771585736E1,1.228741008E2,2.551464653E1,3.450756836E2,8.001208274E0,8.001208274E0
1.458146216E2,4.771002658E1,1.771577870E1,1.241551435E2,2.549729156E1,3.450756836E2,8.001208274E0,8.001208274E0
1.468146148E2,4.771024255E1,1.771567720E1,1.256705188E2,2.577668571E1,3.447220154E2,8.001208274E0,8.001208274E0
1.478146099E2,4.771045112E1,1.771559203E1,1.264664320E2,2.549729156E1,3.439313965E2,8.001208274E0,8.001208274E0
1.488146034E2,4.771067797E1,1.771546748E1,1.268503583E2,2.511462212E1,3.439313965E2,8.001208274E0,8.001208274E0
1.498145980E2,4.771089223E1,1.771538356E1,1.264505750E2,2.511462212E1,3.434171753E2,8.001208274E0,8.001208274E0
1.508145916E2,4.771110405E1,1.771531791E1,1.256521280E2,2.525200272E1,3.434171753E2,8.001208274E0,8.001208274E0
1.518145862E2,4.771133189E1,1.771522539E1,1.251653772E2,2.525200272E1,3.429939270E2,8.001208274E0,8.001208274E0
1.528145801E2,4.771153237E1,1.771516242E1,1.252349425E2,2.456715012E1,3.429939270E2,8.001208274E0,8.001208274E0
1.538145741E2,4.771174436E1,1.771508130E1,1.255588546E2,2.414899445E1,3.429939270E2,8.001208274E0,8.001208274E0
1.548145682E2,4.771193938E1,1.771499099E1,1.257910322E2,2.396109962E1,3.429939270E2,8.001208274E0,8.001208274E0
1.558145621E2,4.771214637E1,1.771490290E1,1.258367856E2,2.366969872E1,3.420277710E2,8.001208274E0,8.001208274E0
1.568145566E2,4.771234294E1,1.771482164E1,1.259202703E2,2.366969872E1,3.412793274E2,8.001208274E0,8.001208274E0
1.578145508E2,4.771255536E1,1.771472379E1,1.258045007E2,2.343975258E1,3.382568359E2,8.001208274E0,8.001208274E0
1.588145454E2,4.771273476E1,1.771461039E1,1.253304131E2,2.340510750E1,3.364760742E2,8.001208274E0,8.001208274E0
1.598145393E2,4.771292555E1,1.771448188E1,1.247895671E2,2.259120369E1,3.351719971E2,8.001208274E0,8.001208274E0
1.608145334E2,4.771311164E1,1.771435063E1,1.242921018E2,2.224901581E1,3.339838867E2,8.001208274E0,8.001208274E0
1.618145275E2,4.771329522E1,1.771421787E1,1.239192748E2,2.224901581E1,3.339838867E2,8.001208274E0,8.001208274E0
1.628145219E2,4.771346726E1,1.771410223E1,1.236361318E2,2.197417831E1,3.358165588E2,8.001208274E0,8.001208274E0
1.638145154E2,4.771364766E1,1.771398678E1,1.224725728E2,2.154934692E1,3.365600891E2,8.001208274E0,8.001208274E0
